z [m],u [m/s],u_rms [m/s],c [-],d_32a [m]
0.0026,4.973,1.581,0.122,0.001242316
0.0042,5.742,1.275,0.143,0.00145415
0.0058,6.114,1.150,0.158,0.0016287
0.0074,6.444,1.092,0.171,0.001812286
0.0106,6.907,1.008,0.191,0.002153034
0.0138,7.308,0.892,0.210,0.002557543
0.017,7.574,0.816,0.235,0.003010496
0.0202,7.857,0.758,0.268,0.003615015
0.0234,8.102,0.655,0.314,0.004426415
0.0266,8.273,0.616,0.381,0.005705731
0.0298,8.420,0.591,0.471,0.007668773
0.033,8.526,0.566,0.579,0.010769756
0.0362,8.587,0.526,0.685,0.015593775
0.0394,8.656,0.519,0.784,0.024067809
0.0426,8.689,0.507,0.859,0.037236827
0.0458,8.682,0.478,0.911,0.058388454
0.049,8.687,0.471,0.945,0.092912866
0.0522,8.660,0.418,0.966,0.149034739
0.0554,8.648,0.407,0.979,0.234988464
0.0586,8.650,0.398,0.987,0.372746209
0.0618,8.634,0.389,0.992,0.567591971
0.065,8.626,0.362,0.995,0.854913617
